county,event_id,applicant,applicant_type,status_raw,status_norm,cat_a,cat_b,cat_c,cat_d,cat_e,cat_f,cat_g,total_calc,wb_row_total,comment,comment_html
Cheboygan,E1,Cheboygan EOC,County,Complete,complete,350000.0,48044.53,0.0,0.0,0.0,0.0,0.0,398044.53,398044.53,"Cat A: Estimated: $350,000.00 for 10,500 cubic yards of debris collection. Applicant estimated 30 CY of debris per flooded home, and is planning to hold several flood debris drop-off days, which will be monitored with waste original address documented. 30 CY roll-off dumpsters were quoted to be $1,000 apiece, and 350 homes were estimated to have flood damage. 350 x $1,000 = $350,000. Documented 216+ flooded primary residences in preliminary damage survey, and many not surveyed were secondary homes. Validated: $350,000 using applicant provided cost breakout. 
Cat B: Estimated: $48,044.53 for overtime related to emergency protective measures, road closures, distribution of drinking water, provision of supplies, assisting in evacuations, floodfighting supplies, assisting the DNR with the dam related evacuations, monitoring the dam flooding activity, a contract for flood level, and EOC supplies. Validated: $48,044.53 using applicant provided cost breakouts, and invoices.","<b>Cat A: Estimated: $350,000.00</b> for 10,500 cubic yards of debris collection. Applicant estimated 30 CY of debris per flooded home, and is planning to hold several flood debris drop-off days, which will be monitored with waste original address documented. 30 CY roll-off dumpsters were quoted to be $1,000 apiece, and 350 homes were estimated to have flood damage. 350 x $1,000 = $350,000. Documented 216+ flooded primary residences in preliminary damage survey, and many not surveyed were secondary homes. <b>Validated: $350,000</b> using applicant provided cost breakout. <br><b>Cat B: Estimated: $48,044.53 </b>for overtime related to emergency protective measures, road closures, distribution of drinking water, provision of supplies, assisting in evacuations, floodfighting supplies, assisting the DNR with the dam related evacuations, monitoring the dam flooding activity, a contract for flood level, and EOC supplies. <b>Validated: $48,044.53</b> using applicant provided cost breakouts, and invoices."
Cheboygan,E1,Tuscarora Township,Government,Complete,complete,0.0,24657.62,0.0,0.0,0.0,0.0,185467.0,210124.62,210124.62,"Cat A: Estimated: $100,000 for debris removal from multiple waterways. Applicant provided information to support 10 cubic yards of debris removed. Additional photographs from the site tour supports approximately 20 cubic yards of debris to remove from DeVoe beach. Reduced: $100,000 due to unsubstatiated debris quantities and costs.  
Cat B: Estimated: $24,657.62 Validated: $24,657.62 
- Estimated $900 for emergency pumping of two vault toilets filled with floodwaters. Validated: $900 using applicant provided invoices
- Estimated $18,795 for lift station operation by contractors. Validated: $18,795 using applicant provided invoices
- Estimated: $375 for emergency pumping at lift station. Validated: $375 using applicant provided invoices
- Estimated: $4,260.62 for pumping and disinfection of lift station. Validated: $4,260.62 using applicant provided invoices
- Estimated: $327 for operating pump at a lift station, contracted cost. Validated: $327 using applicant provided invoices
Cat C: Estimated: $50,000 for road washout at hideaway park. Reduced: $50,000 as the damage to the road was caused by non emergency traffic attempting to launch their boat. Damage to the road was some rutting. Facility is a roundabout and parking area.
Cat F: Estimated: $381.50 for electrical repairs to a lift station. Reduced: $381.50 as the costs are below the FY 26 project minimum
Cat G: Estimated: $4,400,000 Reduced: $4,214,533 Validated: $185,467 using fema engineer estimates 
- Devoe Beach: Estimated: $2,200,000 for replacement of two vault toilets at DeVoe beach, undercutting of veteran's pier breakwall, destruction of a concrete sidewalk, destruction of a masonry retaining wall, and loss of picnic tables. 
    - Site 1: Estimated $250,000 Reduced: $232,700 as the applicant explained that the original quote was to connect the toilets to their sewage system and not to repair in kind. Validated: $17,300 to replace two vault toilets engineer's estimate.
    - Site 2: $150,000 for 500 ft long 1 ft wide concrete portion of sidewalk that was displaced and unleveled by the floodwaters. Reduced $136,200 as the applicant estimate was not support with a calculated cost or dimensions. Validated: $13,800 using FEMA engineer produced estimate based on site visit.
    - Site 3: $50,000 for 8 ft wooden picnic table replacements for tables lost to the flood. Reduced: $48,893 as the applicant only lost 3 wooden tables.  Validated: $1,107 using publically available data for similar sized picnic tables. 
    - Site 4: $150,000 to replace 500 feet of the retaining wall in-kind. Reduced: $116,565 by FEMA engineer estimate. Validated: $33,435 using FEMA prepared cost estimate. 
    - Site 5: $1,500,000 to repair undercutting damages to veteran's pier breakwall. Reduced: $1,500,000 as the structure is under the authority of USACE. 

- Estimated: $0 for newly identified damage at Lower Marina Park. A 270 foot wooden retaining wall was washed away by the floodwaters. Validated: $65,000 using FEMA engineer prepared cost estimate to rebuild the retaining wall in-kind. 
- Estimated: $150,000 for breakwall and dock at Hideaway Park. Reduced: $118,300 using FEMA engineer prepared cost estimate. Validated: $31,700 using FEMA prepared cost estimate. 
- Estimated: $750,000 for undercutting damage at Green Dock. A wooden dock along the river settled unevenly after being submerged in the floodwaters and now slopes into the river. Reduced: $737,750 using FEMA engineer cost estimate. Validated: $12,250 using FEMA prepared cost estimate for using a jack to level out the deck. 
- Estimated: $0 for a newly identified damage to 170 feet of a boardwalk sloping into the river. Validated: $10,875 using FEMA engineer prepared cost estimate to repair the site. 
- Estimated: $250,000 for vault toilet replacement at Tuscarora Township Boat Launch. Reduced: $250,000 as the applicant stated it was not damaged. 
- Estimated: $1,000,000 for Tuscarora Township Boat Launch for replacement of facility destroyed by flooding. Reduced: $1,000,000 as the applicant stated facility was not damaged. 
-Estimated: $150,000 for kayak launch destroyed by the flooding. Reduced: $150,000 as the kayak launch was confirmed to be undamaged by the applicant.","<b>Cat A: Estimated: $100,000</b> for debris removal from multiple waterways. Applicant provided information to support 10 cubic yards of debris removed. Additional photographs from the site tour supports approximately 20 cubic yards of debris to remove from DeVoe beach. <b>Reduced: $100,000 </b>due to unsubstatiated debris quantities and costs.  <br><b>Cat B: Estimated: $24,657.62 Validated: $24,657.62 </b><br>- Estimated $900 for emergency pumping of two vault toilets filled with floodwaters. Validated: $900 using applicant provided invoices<br>- Estimated $18,795 for lift station operation by contractors. Validated: $18,795 using applicant provided invoices<br>- Estimated: $375 for emergency pumping at lift station. Validated: $375 using applicant provided invoices<br>- Estimated: $4,260.62 for pumping and disinfection of lift station. Validated: $4,260.62 using applicant provided invoices<br>- Estimated: $327 for operating pump at a lift station, contracted cost. Validated: $327 using applicant provided invoices<br><b>Cat C: Estimated: $50,000</b> for road washout at hideaway park.<b> Reduced: $50,000</b> as the damage to the road was caused by non emergency traffic attempting to launch their boat. Damage to the road was some rutting. Facility is a roundabout and parking area.<br><b>Cat F: Estimated: $381.50</b> for electrical repairs to a lift station.<b> Reduced: $381.50</b> as the costs are below the FY 26 project minimum<br><b>Cat G: Estimated: $4,400,000</b> <b>Reduced</b>: <b>$4,214,533</b> <b>Validated: $185,467 </b>using fema engineer estimates <b><br></b>- Devoe Beach: Estimated: $2,200,000 for replacement of two vault toilets at DeVoe beach, undercutting of veteran&#x27;s pier breakwall, destruction of a concrete sidewalk, destruction of a masonry retaining wall, and loss of picnic tables. <br>    - Site 1: Estimated $250,000 Reduced: $232,700 as the applicant explained that the original quote was to connect the toilets to their sewage system and not to repair in kind. Validated: $17,300 to replace two vault toilets engineer&#x27;s estimate.<br>    - Site 2: $150,000 for 500 ft long 1 ft wide concrete portion of sidewalk that was displaced and unleveled by the floodwaters. Reduced $136,200 as the applicant estimate was not support with a calculated cost or dimensions. Validated: $13,800 using FEMA engineer produced estimate based on site visit.<br>    - Site 3: $50,000 for 8 ft wooden picnic table replacements for tables lost to the flood. Reduced: $48,893 as the applicant only lost 3 wooden tables.  Validated: $1,107 using publically available data for similar sized picnic tables. <br>    - Site 4: $150,000 to replace 500 feet of the retaining wall in-kind. Reduced: $116,565 by FEMA engineer estimate. Validated: $33,435 using FEMA prepared cost estimate. <br>    - Site 5: $1,500,000 to repair undercutting damages to veteran&#x27;s pier breakwall. Reduced: $1,500,000 as the structure is under the authority of USACE. <br><br>- Estimated: $0 for newly identified damage at Lower Marina Park. A 270 foot wooden retaining wall was washed away by the floodwaters. Validated: $65,000 using FEMA engineer prepared cost estimate to rebuild the retaining wall in-kind. <br>- Estimated: $150,000 for breakwall and dock at Hideaway Park. Reduced: $118,300 using FEMA engineer prepared cost estimate. Validated: $31,700 using FEMA prepared cost estimate. <br>-<b> </b>Estimated: $750,000 for undercutting damage at Green Dock. A wooden dock along the river settled unevenly after being submerged in the floodwaters and now slopes into the river. Reduced: $737,750 using FEMA engineer cost estimate. Validated: $12,250 using FEMA prepared cost estimate for using a jack to level out the deck. <br>- Estimated: $0 for a newly identified damage to 170 feet of a boardwalk sloping into the river. Validated: $10,875 using FEMA engineer prepared cost estimate to repair the site. <br>- Estimated: $250,000 for vault toilet replacement at Tuscarora Township Boat Launch. Reduced: $250,000 as the applicant stated it was not damaged. <br>- Estimated: $1,000,000 for Tuscarora Township Boat Launch for replacement of facility destroyed by flooding. Reduced: $1,000,000 as the applicant stated facility was not damaged. <br>-Estimated: $150,000 for kayak launch destroyed by the flooding. Reduced: $150,000 as the kayak launch was confirmed to be undamaged by the applicant."
Cheboygan,E1,PIE&G - Cheboygan,Co Op,Complete,complete,0.0,0.0,0.0,0.0,0.0,66138.0,0.0,66138.0,66138.0,"CAT F Estimated: $66,138 for damages to underground gas mainline, gas meters and connections, and underground electric lines. Validated $66,138 utilizing Applicant provided damage descriptions and cost summary.","<b>CAT F Estimated: $66,138 </b>for damages to underground gas mainline, gas meters and connections, and underground electric lines. <b>Validated $66,138</b> utilizing Applicant provided damage descriptions and cost summary."
Cheboygan,E1,Michigan State Police - Cheboygan,Government,Complete,complete,0.0,66516.0,0.0,0.0,0.0,0.0,0.0,66516.0,66516.0,"Cat. B: Estimated $66,516 for mutual aid provided for search and rescue.  Validated $66,516 mutual aid agreement provided by MSP","Cat. B: Estimated $66,516 for mutual aid provided for search and rescue.  V<b>alidated $66,516</b> mutual aid agreement provided by MSP"
Cheboygan,E1,MDNR - Cheboygan County,Government,Complete,complete,470369.85,5084849.45,0.0,624844.77,0.0,0.0,604436.0,6784500.07,6784500.07,"Cat A: Estimated: $470,369.85 for debris removal from the dam grates and for an upstream debris operation that was catching debris before it reached the dam.  Validated: $470,369.85 utilizing applicant invoices, labor records, and FEMA site inspection.
Cat B: Estimated: $5,084,849.45 emergency pumping operations, monitoring, inspections- ongoing for over 3 weeks; created a temporary staging area for heavy equipment, utilized the adjacent lock structure to help manage water levels.  Validated: $5,084,849.45: utilizing applicant invoices ($3.3M for contracted pumping services, work completed w/ final invoices), labor records, photos, drone footage, and FEMA inspection.  
Cat D: Estimated $624,884.77: repairs to bridge connecting lock and dam, replacement of dam wing wall damaged in flood, resetting gabion baskets dislodged by fast moving water, reapiring parking lots damaged by temporary staging area (cranes, heavy equipment staged during emergency response) Validated: $624,884.77 utilizing estimates from FEMA engineer, applicant, and FEMA site inspection.
Cat G: Estimated: $604,436.00 for repairs for park storage building, shoreline erosion, culverts, seawall, railbank, roadway and emergency vault pumping. Validated: $604,436.00 using applicant supplied cost estimate.","<b>Cat A: Estimated: $470,369.85 </b>for debris removal from the dam grates and for an upstream debris operation that was catching debris before it reached the dam.  <b>Validated: $470,369.85</b> utilizing applicant invoices, labor records, and FEMA site inspection.<br><b>Cat B: Estimated: $5,084,849.45</b> emergency pumping operations, monitoring, inspections- ongoing for over 3 weeks; created a temporary staging area for heavy equipment, utilized the adjacent lock structure to help manage water levels.  <b>Validated:</b> <b>$5,084,849.45:</b> utilizing applicant invoices ($3.3M for contracted pumping services, work completed w/ final invoices), labor records, photos, drone footage, and FEMA inspection.  <br><b>Cat D: Estimated $624,884.77:</b> repairs to bridge connecting lock and dam, replacement of dam wing wall damaged in flood, resetting gabion baskets dislodged by fast moving water, reapiring parking lots damaged by temporary staging area (cranes, heavy equipment staged during emergency response) <b>Validated: $624,884.77</b> utilizing estimates from FEMA engineer, applicant, and FEMA site inspection.<b><br>Cat G: Estimated: $604,436.00 </b>for repairs for park storage building, shoreline erosion, culverts, seawall, railbank, roadway and emergency vault pumping. <b>Validated: $604,436.00</b> using applicant supplied cost estimate."
Clare,E1,Clare County Road Commission,County,Complete,complete,0.0,0.0,38906.37,0.0,0.0,0.0,0.0,38906.37,38906.37,"CAT C:  Estimated:  $38,906.37 for damages emergency repairs to washed-out culverts and roads.  Validated:  $38,906.37 utilizing applicant provided descriptions and cost estimates","<b>CAT C: </b> <b>Estimated:  $38,906.37 </b>for damages emergency repairs to washed-out culverts and roads. <b> Validated:  $38,906.37 </b>utilizing applicant provided descriptions and cost estimates"
Clare,E1,Great Lakes Energy Co-Op,,Complete,complete,0.0,0.0,0.0,0.0,0.0,4075.0,0.0,4075.0,4075.0,"CAT F:  Estimated: $4,075 for power outage and restoration due to flooding.  Validated: $4,075 costs will be a part of a larger Great Lake Engergy Project","<b>CAT F: </b> <b>Estimated: </b>$4,075 for power outage and restoration due to flooding. <b> Validated:</b> $4,075 costs will be a part of a larger Great Lake Engergy Project"
Crawford,E1,Crawford County,County,Complete,complete,0.0,5500.0,0.0,0.0,0.0,0.0,0.0,5500.0,5500.0,"CAT B: Estimated $5,500 cost for staffing and equipping the Emergency Operations Center within the incident period Validated: $5,500 utilizing cost summary documentation","CAT B: <b>Estimated $5,500</b> cost for staffing and equipping the Emergency Operations Center within the incident period <b>Validated: $5,500 </b>utilizing cost summary documentation"
Crawford,E1,Crawford Road Commission,County,Complete,complete,0.0,0.0,29208.0,0.0,0.0,0.0,0.0,29208.0,29208.0,"CAT C; Estimated $29,208 for 4 Roads 5 sites, replace 3 culverts and road washouts. Validated $29,208 with applicant cost summary photos and appliant provided scope of work.","CAT C; <b>Estimated $29,208</b> for 4 Roads 5 sites, replace 3 culverts and road washouts.<b> Validated $29,208</b> with applicant cost summary photos and appliant provided scope of work."
Crawford,E1,South Branch Fire Dept,Government,Complete,complete,0.0,11923.0,0.0,0.0,0.0,0.0,0.0,11923.0,11923.0,"CAT B: Estimated: $11,923.01 emergency search, rescue and flood water pumping. Validated $11,923.01 with summary sheets for labor and equipment utilizing FEMA equipment costs codes.","CAT B: <b>Estimated: $11,923.01</b> emergency search, rescue and flood water pumping. <b>Validated $11,923.01</b> with summary sheets for labor and equipment utilizing FEMA equipment costs codes."
