table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,full_data_type,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,maximum_cardinality,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_system_time_period_start,is_system_time_period_end,system_time_period_timestamp_generation,is_updatable,partition_index,comment
openfema,data_products,declaration_denials,incidentBeginDate,18,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,declaration_denials,id,19,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,declaration_denials,femadexLastRefresh,20,null,YES,timestamp,TIMESTAMP,null,null,null,null,null,3,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,disaster_declarations_summaries,femaDeclarationString,0,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Unique identifier for FEMA declaration
openfema,data_products,disaster_declarations_summaries,disasterNumber,1,null,YES,bigint,LONG,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Unique identifier for disaster event
openfema,data_products,disaster_declarations_summaries,state,2,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,State where the disaster occurred
openfema,data_products,disaster_declarations_summaries,declarationType,3,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Type of declaration issued by FEMA
openfema,data_products,disaster_declarations_summaries,declarationDate,4,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Date when the declaration was made
openfema,data_products,disaster_declarations_summaries,fyDeclared,5,null,YES,bigint,LONG,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Fiscal year in which the declaration was made
openfema,data_products,disaster_declarations_summaries,incidentType,6,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Type of disaster incident
openfema,data_products,disaster_declarations_summaries,declarationTitle,7,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Title or name given to the declaration
openfema,data_products,disaster_declarations_summaries,ihProgramDeclared,8,null,YES,boolean,BOOLEAN,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Indicates if Individual Housing Program was declared
openfema,data_products,disaster_declarations_summaries,iaProgramDeclared,9,null,YES,boolean,BOOLEAN,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Indicates if Individual Assistance Program was declared
openfema,data_products,disaster_declarations_summaries,paProgramDeclared,10,null,YES,boolean,BOOLEAN,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Indicates if Public Assistance Program was declared
openfema,data_products,disaster_declarations_summaries,hmProgramDeclared,11,null,YES,boolean,BOOLEAN,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Indicates if Hazard Mitigation Program was declared
openfema,data_products,disaster_declarations_summaries,incidentBeginDate,12,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Start date of the disaster incident
openfema,data_products,disaster_declarations_summaries,incidentEndDate,13,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,End date of the disaster incident
openfema,data_products,disaster_declarations_summaries,disasterCloseoutDate,14,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Date when the disaster declaration was closed out
openfema,data_products,disaster_declarations_summaries,tribalRequest,15,null,YES,boolean,BOOLEAN,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Indicates if the declaration was requested by a tribal entity
openfema,data_products,disaster_declarations_summaries,fipsStateCode,16,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Federal Information Processing Standards code for state
openfema,data_products,disaster_declarations_summaries,fipsCountyCode,17,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Federal Information Processing Standards code for county
openfema,data_products,disaster_declarations_summaries,placeCode,18,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Code representing a specific place or area
openfema,data_products,disaster_declarations_summaries,designatedArea,19,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Area designated for federal assistance
openfema,data_products,disaster_declarations_summaries,declarationRequestNumber,20,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Unique identifier for the declaration request
openfema,data_products,disaster_declarations_summaries,lastIAFilingDate,21,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Date of the last filing for Individual Assistance
